"issue-reported-date","shipment-creation-date","fba-shipment-id","fulfillment-center-id","sku","fnsku","asin","product-name","problem-type","problem-quantity","coaching-level","fee-type","currency","fee-total","problem-level","alert-status"
"2020-09-17T10:22:20+00:00","2020-09-11T00:00:00+00:00","FBA15D5SFXSN","SIDA","PE-GEIX-4DTL","X0017WJ3AL","B083ZP6J9J","Realme 5i (Forest Green, 4GB RAM, 64GB Storage)","VENDOR_DAMAGED","1","CRITICAL",,,,"ITEM","NONE"
"2020-09-08T23:33:04+00:00","2020-08-26T00:00:00+00:00","FBA15D4QKJN5","BOM4","39-B7FP-GHKY","X00115UEYD","B078L89W8H","Panasonic SR-WA10 ge9 Automatic Electric Rice Cooker (Burgundy)","LABEL_ISSUE","46","STANDARD",,,,"ITEM","ACKNOWLEDGED"
"2020-09-02T03:18:46+00:00","2020-08-12T00:00:00+00:00","FBA15D3VN7X0","BLR7","SB-9P6I-8ISO","X0017IWD8J","B08456Q13Y","Prestige Svachh Clip-on 3.5 Litre Stainless Steel Pressure Kadai","ITEM_OVERAGE","1","STANDARD",,,,"ITEM","ACKNOWLEDGED"
"2020-08-31T03:16:10+00:00","2020-08-19T00:00:00+00:00","FBA15D49Z9HK","BLR5","TZ-OI3R-XZSK","X001833GFR","B08FF28XM2","Gilma Fingertip Oximeter for High Accuracy Measuring of Pulse Rate and Blood Oxigen Saturation","ITEM_OVERAGE","1","STANDARD",,,,"ITEM","NONE"
"2020-08-29T03:09:35+00:00","2020-08-11T00:00:00+00:00","FBA15D3ST5CJ","BOM1","QZ-2G87-F9UG","X0016BY5O7","B07SML5536","Wahl 09870-024 Vaccum Trimmer (Black)","ITEM_OVERAGE","-1","STANDARD",,,,"ITEM","ACKNOWLEDGED"
"2020-08-29T03:09:35+00:00","2020-08-11T00:00:00+00:00","FBA15D3ST5CJ","BOM1","QZ-2G87-F9UG","X0016BY5O7","B07SML5536","Wahl 09870-024 Vaccum Trimmer (Black)","ITEM_OVERAGE","1","STANDARD",,,,"ITEM","ACKNOWLEDGED"
"2020-08-19T18:40:24+00:00","2020-07-29T00:00:00+00:00","FBA15D312TD1","BOM7","FBA15D312TD1.missing1","X001831AWD","B007FD5LRM","Wahl 05640-124 Micro Finish Pen Trimmer","ITEM_MISLABELED","18","CRITICAL",,,,"ITEM","ACKNOWLEDGED"
"2020-08-18T09:16:04+00:00","2020-08-10T00:00:00+00:00","FBA15D3PTF5K","SIDA","PE-GEIX-4DTL","X0017WJ3AL","B083ZP6J9J","Realme 5i (Forest Green, 4GB RAM, 64GB Storage)","VENDOR_DAMAGED","5","CRITICAL",,,,"ITEM","NONE"
"2020-08-08T08:24:31+00:00","2020-07-29T00:00:00+00:00","FBA15D31PRFR","SIDA","FS_pantswithribs_2-2.5","X00113EOFZ","B07S687CZ8","First Smile Baby Kids Soft Cotton Track Pants Pajama with Ribs Multicolor Unisex Pack of 6 (2-2.5 Years)","VENDOR_DAMAGED","1","CRITICAL",,,,"ITEM","NONE"
"2020-07-28T07:56:04+00:00","2020-07-21T00:00:00+00:00","FBA15D27J8C0","SIDA","0T-BCF8-8OC9","X0016SPAWB","B07YZ8CMX8","realme XT (Pearl Blue, 4GB RAM, 64GB Storage)","VENDOR_DAMAGED","6","CRITICAL",,,,"ITEM","NONE"
"2020-07-27T09:05:59+00:00","2020-07-20T00:00:00+00:00","FBA15D2588ZP","SIDA","0B-E6ZY-GXG0","X0011Z9SDL","B07L12RZXL","Prestige PIC 6.1 V3 2200-Watt Induction Cooktop (Black)","VENDOR_DAMAGED","1","CRITICAL",,,,"ITEM","NONE"
"2020-07-12T07:31:11+00:00","2020-07-06T00:00:00+00:00","FBA15D162M51","SIDA","5W-G7VN-S430","X000V8QZ17","B01N0U17R4","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","VENDOR_DAMAGED","1","CRITICAL",,,,"ITEM","NONE"
"2020-06-16T05:22:50+00:00","2020-06-09T00:00:00+00:00","FBA15CZNTG1T","SIDA","55-0CKI-LL9P","X00113MU7T","B00KL56OEA","Bajaj New Bahar 1200mm Ceiling Fan (Brown)","ITEM_MISLABELED","12","ELEVATED",,,,"ITEM","NONE"
"2020-06-14T07:19:11+00:00","2020-06-09T00:00:00+00:00","FBA15CZNVHF1","SIDA","8L-1GK3-HMOE","X0016MIKDX","B07RRJ5J7Y","Nokia 3.2 (Black, 32 GB) (3 GB RAM)","VENDOR_DAMAGED","2","ELEVATED",,,,"ITEM","NONE"
"2020-06-10T03:16:20+00:00","2020-05-25T00:00:00+00:00","FBA15CYPJ97F","BOM1","WE-Q8T4-LLIO","X0015MS2X7","B00A328ENA","Panasonic SR-WA22H(E) 5.4-Litre Automatic Rice Cooker (Apple Green)","ITEM_OVERAGE","1","STANDARD",,,,"ITEM","ACKNOWLEDGED"
"2020-06-10T03:02:49+00:00","2020-05-25T00:00:00+00:00","FBA15CYRB76Z","BOM4","9U-GML9-G1OM","X0016LEYBB","B00MFPEU3G","Wahl 08110-624 Balding Clipper (Multicolor)","ITEM_OVERAGE","1","STANDARD",,,,"ITEM","NONE"
"2020-06-05T04:26:29+00:00","2020-05-25T00:00:00+00:00","FBA15CYR6Z7N","SDEE","SP-SENX-IWUZ","X0013S4K7F","B00TGQJKIW","Prestige Omega DieCast Plus Tawa 310 mm with HI","VENDOR_DAMAGED","3","ELEVATED",,,,"ITEM","NONE"
"2020-06-05T03:15:50+00:00","2020-05-21T00:00:00+00:00","FBA15CYJX0B2","BOM1","XC-WVBN-KXVX","X0016JLSET","B01MATFQMN","Wahl 79803-024 Performer Cordless Clipper (Black)","ITEM_OVERAGE","2","STANDARD",,,,"ITEM","ACKNOWLEDGED"
"2020-06-01T03:08:41+00:00","2020-05-21T00:00:00+00:00","FBA15CYJW2D9","BOM1","MO-X9XW-JXJ7","X0015CA37Z","B07H9PW4V2","Wahl 08591-1024 Wahl Designer Cordless & Corded Clipper, Black (Black)","ITEM_OVERAGE","2","STANDARD",,,,"ITEM","ACKNOWLEDGED"
"2020-05-26T03:22:24+00:00","2020-05-18T00:00:00+00:00","FBA15CYB1N32","SIDA","2L-V9NV-D641","X000TSRMU7","B01EFRQEG2","Prestige Clean Home 42603 Magic Mop, Blue","VENDOR_DAMAGED","1","ELEVATED",,,,"ITEM","NONE"
"2020-05-26T03:19:19+00:00","2020-05-18T00:00:00+00:00","FBA15CYB1N32","SIDA","7H-KDV7-TTYN","X000XR704H","B01EFRQEJO","Prestige Clean Home 42605 Magic Mop (Blue)","VENDOR_DAMAGED","1","ELEVATED",,,,"ITEM","NONE"
"2020-05-18T11:45:52+00:00","2020-05-14T00:00:00+00:00","FBA15CY5DB63","BOM1","5A-YZR6-GSZ2","X0016FN38H","B07QDM8DMT","Wahl Wahl Color Pro hair Clipper Color Coded Cordless Clipper for Men, (Blue)","LABEL_ISSUE","8","STANDARD",,,,"ITEM","ACKNOWLEDGED"
"2020-04-20T08:08:47+00:00","2020-03-17T00:00:00+00:00","FBA15CW8T1MT","SIDA","19-DVWF-MHUM","X0011EQM27","B075S1NQJW","cello checkers air tight pet canister set of 3 ,plastic,2500 ml,white with black","VENDOR_DAMAGED","216","STANDARD",,,,"ITEM","NONE"
"2020-04-06T09:11:04+00:00","2020-03-20T00:00:00+00:00","FBA15CWC6V4C","SIDA","14-8ZW1-ONFY","X001607VDP","B081B7SYX5","(Renewed) Redmi K20 (Glacier Blue, 6GB RAM, 128GB Storage)","VENDOR_DAMAGED","1","STANDARD",,,,"ITEM","NONE"
"2020-03-19T07:52:02+00:00","2020-02-25T00:00:00+00:00","FBA15CV6H5GM","SIDA","--","--","--",,"SHIPMENT_GENERIC_EVENT","11","STANDARD",,,,"SHIPMENT","ACKNOWLEDGED"
"2020-03-16T08:07:11+00:00","2020-03-05T00:00:00+00:00","FBA15CVNNVT8","SIDA","Fs_CottonBibs_Pc3","X000WJVIJJ","B07HRGJ1KR","First Smile Multicolored Cotton Baby Bibs with Titch Button (Pack of 3)","VENDOR_DAMAGED","20","STANDARD",,,,"ITEM","NONE"
"2020-03-13T13:17:57+00:00","2020-03-05T00:00:00+00:00","FBA15CVNNVT8","SIDA","Fs_CottonBibs_Pc3","X000WJVIJJ","B07HRGJ1KR","First Smile Multicolored Cotton Baby Bibs with Titch Button (Pack of 3)","ITEM_MISLABELED","20","STANDARD",,,,"ITEM","NONE"
"2020-03-12T12:17:13+00:00","2020-02-13T00:00:00+00:00","FBA15CTS20B4","SIDA","--","--","--",,"SHIPMENT_GENERIC_EVENT","284","STANDARD",,,,"SHIPMENT","ACKNOWLEDGED"
"2020-03-12T06:12:29+00:00","2020-03-07T00:00:00+00:00","FBA15CVRNLLB","SIDA","1Y-66WN-DQNK","X0015B3SRN","B081W63MSF","Wonderchef Prato Electric Rice Cooker & Steamer 1L - 400W","VENDOR_DAMAGED","2","STANDARD",,,,"ITEM","ACKNOWLEDGED"
"2020-03-12T06:07:21+00:00","2020-03-07T00:00:00+00:00","FBA15CVRSCMQ","SIDA","CW-E9KP-OMBP","X0013TBHGB","B07WS4KW6M","realme 5 Pro (Crystal Green, 4GB RAM, 64GB Storage)","VENDOR_DAMAGED","2","STANDARD",,,,"ITEM","NONE"
"2020-03-12T06:04:15+00:00","2020-03-07T00:00:00+00:00","FBA15CVRSCMQ","SIDA","9D-XQBT-OMZ7","X0013212YP","B07Y33DHBB","realme 5 Pro (Crystal Green, 8GB RAM, 128GB Storage)","VENDOR_DAMAGED","4","STANDARD",,,,"ITEM","NONE"
"2020-03-12T05:58:31+00:00","2020-03-07T00:00:00+00:00","FBA15CVRWDG3","SIDA","Z9-03Z8-CN70","X0015T2R1X","B07Y8K4D7X","realme 5 Pro (Sparkling Blue, 6GB RAM, 64GB Storage)","VENDOR_DAMAGED","10","STANDARD",,,,"ITEM","NONE"
"2020-03-02T06:02:44+00:00","2020-02-25T00:00:00+00:00","FBA15CV6H5GM","SIDA","9D-XQBT-OMZ7","X0013212YP","B07Y33DHBB","realme 5 Pro (Crystal Green, 8GB RAM, 128GB Storage)","VENDOR_DAMAGED","11","STANDARD",,,,"ITEM","ACKNOWLEDGED"
"2020-02-28T07:48:32+00:00","2020-02-13T00:00:00+00:00","FBA15CTS20B4","SIDA","RZ-BS91-G8OZ","X0014799SF","B07PH24JDQ","Bajaj Popular Plus Storage 15-Litre Vertical Water Heater, White, 4 Star","VENDOR_DAMAGED","15","STANDARD",,,,"ITEM","NONE"
"2020-02-26T07:14:24+00:00","2020-02-13T00:00:00+00:00","FBA15CTRCZQS","SIDA","FBA15CTRCZQS.missing","X0015LUKF1","B07SCR18RZ","USHA Mist Air ICY with Remote 400 mm, Smart Wall Fan, 3 Intelligent Wind Modes, Sleep Timer","ITEM_MISLABELED","16","STANDARD",,,,"ITEM","ACKNOWLEDGED"
"2020-02-22T06:53:13+00:00","2020-02-15T00:00:00+00:00","FBA15CTV13SJ","SIDA","Q7-04X3-B6WD","X00149CVJ7","B07Z6GKRS7","Mi Redmi 8 Smartphone (Onyx Black, 4GB RAM, 64GB Storage)","VENDOR_DAMAGED","1","STANDARD",,,,"ITEM","NONE"
"2020-02-22T04:43:03+00:00","2020-02-15T00:00:00+00:00","FBA15CTV13SJ","SIDA","PZ-FPPL-2N96","X0013TDG6Z","B07XHM7LHM","realme 5 Pro (Sparkling Blue, 8GB RAM, 128GB Storage)","VENDOR_DAMAGED","1","STANDARD",,,,"ITEM","NONE"
"2020-02-21T08:49:03+00:00","2020-02-07T00:00:00+00:00","FBA15CTJHH04","SIDA","9S-2LP9-TRVJ","X0015BOHX7","B082NN3NZB","Pringle GS 103 Portable Handheld Garment Steamer Handy Steam-1000W with Detachable Fabric Brush & 160 ml Capacity, (Black)","VENDOR_DAMAGED","4","STANDARD",,,,"ITEM","NONE"
"2020-02-20T06:22:52+00:00","2020-02-15T00:00:00+00:00","FBA15CTV13SJ","SIDA","QJ-1UX6-ECJS","X0011PW61R","B07N79BGN2","(Renewed) Xiaomi Redmi 6 with 13.84 Cm Display 3000 mAh Battery 3 GB RAM (Blue, 32 GB)","VENDOR_DAMAGED","1","STANDARD",,,,"ITEM","NONE"
